Nome,Tópico,Progresso,Terminado,Link
Python: Ambientes virtuais com pyenv + pipenv + win,,,No,https://brito.blog.incolume.com.br/2020/11/python-ambientes-virtuais-com-pyenv-win.html
poetry,,,No,https://python-poetry.org/docs/
Instalando Pyenv para Windows,,,No,https://www.youtube.com/watch?v=Scs-MZR8opU
pyenv-win,,,No,https://github.com/pyenv-win/pyenv-win#add-system-settings
