Nome,Tópico,Progresso,Terminado,Link
libribook,,,No,https://libribook.com/
https://scanlibs.com/,,,No,https://scanlibs.com/
refseek,,,No,https://www.refseek.com/
worldcat,,,No,https://www.worldcat.org/
springer link,,,No,https://link.springer.com/
bioline,,,No,http://www.bioline.org.br/
repec,,,No,http://repec.org/
science gov,,,No,https://www.science.gov/
pdf drive,,,No,http://www.pdfdrive.com/
base search,,,No,https://base-search.net/
